timestamp,corridor_id,elevation_slope_deg,lane_isolation_score,turning_conflicts,passenger_density,weather_impact,hour,is_peak_hour,delay_minutes,delay_lag_15m,delay_lag_30m
2026-08-01 00:00:00,3,4.2,0.9879648184429082,7,83.20665999771502,1,0,0,8.67,7.543152777777777,7.543152777777777
2026-08-01 00:15:00,4,4.2,0.6375602863157673,6,69.30325986833157,0,0,0,9.53,8.67,7.543152777777777
2026-08-01 00:30:00,1,4.2,0.8690408472900505,5,23.58884461021736,2,0,0,10.67,9.53,8.67
2026-08-01 00:45:00,3,4.2,0.7775000877218284,6,69.80375923698253,0,0,0,5.91,10.67,9.53
2026-08-01 01:00:00,3,4.2,0.9472569017510022,1,44.71341782750129,0,1,0,3.18,5.91,10.67
2026-08-01 01:15:00,4,4.2,0.6708599157789543,2,49.498012437667676,0,1,0,4.43,3.18,5.91
2026-08-01 01:30:00,1,4.2,0.8770503808904657,1,81.57851346375041,2,1,0,7.44,4.43,3.18
2026-08-01 01:45:00,1,4.2,0.9352461158592441,2,84.87481541380885,0,1,0,2.62,7.44,4.43
2026-08-01 02:00:00,3,4.2,0.9778456877896093,5,52.02853014718645,0,2,0,8.39,2.62,7.44
2026-08-01 02:15:00,2,4.2,0.8732992113158583,4,95.77223488050838,1,2,0,7.64,8.39,2.62
2026-08-01 02:30:00,3,4.2,0.7988699056033709,6,52.51701743616578,0,2,0,5.2,7.64,8.39
2026-08-01 02:45:00,3,4.2,0.8471388960804855,6,81.74688281840879,1,2,0,10.9,5.2,7.64
2026-08-01 03:00:00,3,4.2,0.9475619937914873,3,58.710181165140725,0,3,0,4.97,10.9,5.2
2026-08-01 03:15:00,3,4.2,0.8282438986555318,7,91.80258612176672,1,3,0,9.43,4.97,10.9
2026-08-01 03:30:00,4,4.2,0.6121548238787348,1,92.62089949201429,2,3,0,8.53,9.43,4.97
2026-08-01 03:45:00,1,4.2,0.9723794782027911,6,26.99334462968671,0,3,0,7.02,8.53,9.43
2026-08-01 04:00:00,4,4.2,0.8758107004126244,5,94.91946650481806,0,4,0,5.83,7.02,8.53
2026-08-01 04:15:00,4,4.2,0.8706053543108986,4,86.04278732163326,0,4,0,3.48,5.83,7.02
2026-08-01 04:30:00,4,4.2,0.6862700609590868,7,83.30485714501336,2,4,0,15.12,3.48,5.83
2026-08-01 04:45:00,3,4.2,0.8635541880930628,5,36.072907174841795,0,4,0,5.7,15.12,3.48
2026-08-01 05:00:00,2,4.2,0.7575457622616634,1,84.4095367003732,0,5,0,5.31,5.7,15.12
2026-08-01 05:15:00,1,4.2,0.8604931908165968,3,88.01061877480295,0,5,0,6.03,5.31,5.7
2026-08-01 05:30:00,2,4.2,0.6426372121231962,6,43.132026756332074,0,5,0,6.83,6.03,5.31
2026-08-01 05:45:00,4,4.2,0.8631381218412144,5,96.1808062689859,0,5,0,7.17,6.83,6.03
2026-08-01 06:00:00,4,4.2,0.9997654903082667,7,23.98881171193314,0,6,0,6.27,7.17,6.83
2026-08-01 06:15:00,2,4.2,0.6192848155442224,2,31.992740259771175,0,6,0,3.27,6.27,7.17
2026-08-01 06:30:00,2,4.2,0.990869673688527,4,63.00649104412115,0,6,0,4.44,3.27,6.27
2026-08-01 06:45:00,2,4.2,0.7627631842891482,7,66.06339768978478,0,6,0,8.39,4.44,3.27
2026-08-01 07:00:00,4,4.2,0.9483013801349036,5,71.61200666407227,0,7,0,5.29,8.39,4.44
2026-08-01 07:15:00,4,4.2,0.9129541936233094,4,21.357530345237315,1,7,0,7.4,5.29,8.39
2026-08-01 07:30:00,1,4.2,0.8268065043946671,6,96.82934196977043,1,7,0,10.64,7.4,5.29
2026-08-01 07:45:00,1,4.2,0.8953796837005306,2,23.56704741873152,0,7,0,4.0,10.64,7.4
2026-08-01 08:00:00,4,4.2,0.9514062245205391,3,31.44495621787219,0,8,1,8.5,4.0,10.64
