timestamp,corridor_id,lane_isolation_score,turning_conflicts,passenger_density,weather_impact,elevation_slope_deg,hour,is_peak_hour,delay_minutes,delay_lag_15m,delay_lag_30m
2026-08-01 00:00:00,momyshuly-01,0.6551291596636941,6,96.3538224256859,snow,3.6807806458545307,0,0,12.66,6.4337430555555555,6.4337430555555555
2026-08-01 00:15:00,tole-bi-01,0.8652168018001969,3,89.93351371856546,clear,2.2961009063613975,0,0,3.4,12.66,6.4337430555555555
2026-08-01 00:30:00,momyshuly-01,0.6007519534099642,7,76.63527325919958,clear,3.600274438969195,0,0,6.71,3.4,12.66
2026-08-01 00:45:00,momyshuly-01,0.6713490337229319,3,77.09216595949941,clear,3.65019197580405,0,0,5.26,6.71,3.4
2026-08-01 01:00:00,tole-bi-01,0.6116285521375815,1,40.1921371953721,clear,2.3501263122150204,1,0,4.03,5.26,6.71
2026-08-01 01:15:00,tole-bi-01,0.6667540471419483,4,72.54521848707591,snow,2.197494160241096,1,0,10.44,4.03,5.26
2026-08-01 01:30:00,momyshuly-01,0.6725277119702021,2,35.85650121884157,clear,3.622496115168274,1,0,3.11,10.44,4.03
2026-08-01 01:45:00,abylai-khan-01,0.7550694379001577,3,31.52025791358577,clear,1.232077392669841,1,0,4.69,3.11,10.44
2026-08-01 02:00:00,momyshuly-01,0.7609308498746223,2,99.95743153620641,snow,3.5023681842696845,2,0,10.73,4.69,3.11
2026-08-01 02:15:00,momyshuly-01,0.9497049882440951,5,69.79007451785392,rain,3.6905926832908698,2,0,7.83,10.73,4.69
2026-08-01 02:30:00,momyshuly-01,0.8040438849995301,1,54.47902981257524,clear,3.6412744623221958,2,0,5.58,7.83,10.73
2026-08-01 02:45:00,momyshuly-01,0.8893619062449145,4,43.05316183071611,snow,3.8330649313469145,2,0,9.27,5.58,7.83
2026-08-01 03:00:00,tole-bi-01,0.641654943168115,5,68.3136354929782,clear,2.2973986487595615,3,0,4.72,9.27,5.58
2026-08-01 03:15:00,momyshuly-01,0.6901755021854775,5,23.96748065760689,clear,3.7136111084032715,3,0,5.61,4.72,9.27
2026-08-01 03:30:00,abylai-khan-01,0.8811773763914708,6,27.574479240383603,snow,1.2539125571530887,3,0,10.23,5.61,4.72
2026-08-01 03:45:00,tole-bi-01,0.6211215841874113,5,22.628535819231708,clear,2.4921439526553284,3,0,4.42,10.23,5.61
2026-08-01 04:00:00,abylai-khan-01,0.7946390648975012,1,59.93358666101294,clear,1.1030019242564393,4,0,1.48,4.42,10.23
2026-08-01 04:15:00,abylai-khan-01,0.8397475862651735,3,68.0485303349746,clear,1.1504685995199875,4,0,5.95,1.48,4.42
2026-08-01 04:30:00,abylai-khan-01,0.8408582576209924,1,24.99838090862567,rain,1.1064292548530748,4,0,2.58,5.95,1.48
2026-08-01 04:45:00,abylai-khan-01,0.6091731245072168,3,77.69795739991332,clear,1.192208239476014,4,0,3.53,2.58,5.95
2026-08-01 05:00:00,tole-bi-01,0.7288432016916742,5,38.431605721165155,clear,2.1875275691792497,5,0,4.5,3.53,2.58
2026-08-01 05:15:00,tole-bi-01,0.8545962604196615,5,74.81611630158929,clear,2.1473916092744787,5,0,4.66,4.5,3.53
2026-08-01 05:30:00,abylai-khan-01,0.6595998944596974,4,98.55177120281965,clear,0.9866576496781228,5,0,4.08,4.66,4.5
2026-08-01 05:45:00,abylai-khan-01,0.8781662593312213,3,75.28846960430809,clear,0.9802530391003281,5,0,2.07,4.08,4.66
2026-08-01 06:00:00,tole-bi-01,0.8983700835254698,5,90.65544423388869,rain,2.3656391690562146,6,0,7.22,2.07,4.08
2026-08-01 06:15:00,tole-bi-01,0.9927876761784581,6,95.8558805394454,clear,2.2544561750327263,6,0,5.72,7.22,2.07
2026-08-01 06:30:00,tole-bi-01,0.6839367979425638,2,58.94008386818524,clear,2.1766247939104733,6,0,5.01,5.72,7.22
2026-08-01 06:45:00,momyshuly-01,0.9300522670664461,4,76.18599835357655,clear,3.534092036828773,6,0,4.45,5.01,5.72
2026-08-01 07:00:00,momyshuly-01,0.8081186307674616,1,88.15754028446734,clear,3.5472097052960856,7,0,3.2,4.45,5.01
2026-08-01 07:15:00,momyshuly-01,0.7493850384576694,4,48.52871302995089,rain,3.5035399789842785,7,0,8.49,3.2,4.45
2026-08-01 07:30:00,abylai-khan-01,0.6489507029300712,2,40.91178532483159,clear,1.360555049423727,7,0,2.06,8.49,3.2
2026-08-01 07:45:00,momyshuly-01,0.894202242595015,3,95.7278858222671,clear,3.741682890281427,7,0,4.17,2.06,8.49
2026-08-01 08:00:00,abylai-khan-01,0.6943430396574748,1,78.10428002950545,clear,1.358848984861194,8,1,6.89,4.17,2.06
2026-08-01 08:15:00,abylai-khan-01,0.7485688007492183,1,37.57457067006611,clear,1.2179196387688112,8,1,8.01,6.89,4.17
2026-08-01 08:30:00,momyshuly-01,0.6250168907589474,3,55.92667141408907,clear,3.628046448693917,8,1,12.22,8.01,6.89
2026-08-01 08:45:00,abylai-khan-01,0.9205467663278076,7,83.71614156302475,rain,1.1347385942615031,8,1,12.16,12.22,8.01
2026-08-01 09:00:00,momyshuly-01,0.9066354095886573,7,63.76503927347537,clear,3.515292889377128,9,1,13.21,12.16,12.22
2026-08-01 09:15:00,momyshuly-01,0.893446332016925,4,71.99616785327112,rain,3.6021725581754205,9,1,10.98,13.21,12.16
2026-08-01 09:30:00,tole-bi-01,0.7197774041967546,5,80.30145616360419,clear,2.365235602514668,9,1,10.88,10.98,13.21
2026-08-01 09:45:00,momyshuly-01,0.6693920297063829,7,69.76073510471845,clear,3.7195768151859396,9,1,13.38,10.88,10.98
2026-08-01 10:00:00,tole-bi-01,0.8550213057880919,4,63.206345753775665,clear,2.245401085693299,10,0,2.82,13.38,10.88
2026-08-01 10:15:00,momyshuly-01,0.7984665536452877,7,79.96914275102188,rain,3.4747266151229623,10,0,9.06,2.82,13.38
2026-08-01 10:30:00,momyshuly-01,0.6713009867618566,2,78.20504283457606,clear,3.6733984986566273,10,0,3.66,9.06,2.82
2026-08-01 10:45:00,tole-bi-01,0.8743645084199454,6,70.38979201465432,clear,2.118185644847079,10,0,4.22,3.66,9.06
2026-08-01 11:00:00,tole-bi-01,0.9964505727285214,5,48.78315307055437,clear,2.296078943101139,11,0,1.73,4.22,3.66
